Gene	TCGA-AA-3850	TCGA-AA-3845	TCGA-AA-3852	TCGA-G4-6302	TCGA-AA-3492	TCGA-G4-6314	TCGA-G4-6311	TCGA-A6-2672	TCGA-DM-A1HA	TCGA-DM-A1HB
KMT2A	562	1088	594	3392	457	4891	2810	7128	5460	4129
TREH	119	12	59	21	10	42	64	63	142	34
IFT46	353	310	285	750	533	957	596	225	1254	783
MMP8	3	23	19	18	5	18	38	19	2	169
APOA1	1	1	5	5	4	7	3	1	19	8
ZNF541	0	4	1	11	0	12	9	0	5	1
SLC8A2	2	2	11	222	1	116	0	6	45	4
KPTN	137	119	122	202	104	413	389	149	639	527
KIF14	112	477	132	182	81	470	727	455	813	1317
TNNT2	6	2	5	23	8	12	80	212	102	13
DDX59	226	351	197	476	417	717	656	329	790	626
CAMSAP2	296	849	199	1672	96	1497	1554	718	1839	1288
ATF6	1214	1429	841	3228	1648	2968	4332	2018	3345	3706
CRYGD	0	0	0	0	0	0	0	0	0	0
MREG	213	1308	197	219	298	492	581	140	577	640
TNP1	0	0	0	0	0	0	0	1	0	0
FASTKD2	747	799	618	1336	1363	1343	1700	519	2425	2441
NRP2	631	253	489	8063	281	3071	2387	1234	191	976
CREB1	346	972	444	1541	452	2106	1835	1084	1781	1890
KLF7	218	122	259	1513	56	2462	1690	723	763	190
TTR	2	1	2	10	32	53	1	0	18	21
B4GALT6	55	2660	97	222	110	227	222	374	795	521
C1orf54	80	47	59	300	67	258	178	80	124	159
CA14	5	9	15	23	21	14	24	100	106	41
CASC1	0	62	4	14	0	5	7	7	17	6
LRMP	100	100	830	134	27	90	428	140	18	16
ATP10B	4726	1406	2850	3466	6161	8809	8578	4302	863	15342
SPCS2	543	807	552	1571	635	2177	1441	287	2329	3886
USP35	119	113	131	389	123	584	265	288	842	220
ELOVL4	5	17	7	121	12	78	30	11	2	10
FILIP1	28	37	17	1498	10	561	56	81	31	55
CASP8AP2	204	521	121	689	190	952	801	808	1225	1053
HMGN3	360	690	511	1426	180	1313	1039	388	2753	3867
UBE3D	102	97	124	105	116	233	305	248	379	275
CNR1	22	7	1	245	0	53	32	11	29	1
SPACA1	1	0	0	0	0	0	0	0	0	0
ANKRD13C	324	785	237	963	282	858	836	404	484	1191
SGIP1	56	98	60	228	15	292	277	443	32	124
PHF3	742	1345	666	3144	778	3511	3088	2670	6312	4047
ZC2HC1B	0	0	0	0	0	0	0	0	0	0
ADGB	3	3	9	1	0	5	6	0	0	0
PLAGL1	959	400	480	637	193	880	1329	320	617	565
FBXO30	227	833	189	1486	334	1260	859	497	1332	675
TNFAIP3	1215	1433	838	3196	708	2546	4861	2274	2981	1188
AKAP7	124	246	142	270	36	568	196	147	217	468
RAB32	1648	349	612	937	254	1056	1281	53	814	141
MYB	886	508	1065	1043	1574	4265	2606	2176	1253	3252
ALDH8A1	3	6	1	33	1	11	8	21	28	21
SGK1	907	5237	564	1636	526	2823	4213	1450	3058	2098
RNF146	303	675	291	1019	379	937	967	395	1974	833
ARG1	0	1	1	3	1	2	3	92	9	1
CTGF	1599	3208	1939	15052	829	13281	8184	2322	4870	8119
TCF21	76	62	88	327	51	430	138	13	21	28
PMFBP1	63	12	162	21	23	102	101	76	118	88
FBXL5	1631	1836	940	4155	2464	2450	1657	1148	2355	2055
MED28	904	1533	869	2323	1593	4096	1942	1709	5389	3295
SLC16A7	31	66	108	368	6	149	80	126	12	35
RXYLT1	273	447	482	554	293	943	681	119	1210	739
ZNF430	84	250	71	266	78	573	349	344	722	502
VAMP8	2751	2706	1502	2231	4837	2978	4233	407	4160	4559
DCLRE1B	271	220	321	548	417	772	610	389	358	929
MYL12B	11364	15739	6686	16488	22351	16364	14947	2736	51640	27909
FOXO3	520	583	846	2742	414	6287	6346	1738	4259	2545
ARMC2	25	105	52	63	38	193	577	71	131	74
GHRH	0	0	0	0	0	1	0	0	1	0
RPN2	5904	8425	7117	13801	9161	29038	31133	5352	32254	43621
TGIF2	515	431	335	895	192	3142	4951	426	1342	704
CASQ2	3	3	2	1967	5	456	11	0	5	7
OLFM3	0	5	1	45	0	10	2	6	5	0
PKD2	199	614	231	2424	231	1339	733	760	100	539
ABCG2	17	23	27	108	39	74	86	29	4	472
SPP1	763	12203	1442	18226	8387	6448	15073	1540	318	22490
STBD1	40	60	54	309	56	166	174	32	104	138
CCNI	4694	8503	6519	16172	7057	13988	9679	4406	28086	19142
RARRES1	232	507	309	1829	604	829	411	2302	391	12650
MFSD1	930	1293	761	3001	865	2360	2746	641	1101	2844
RAB3GAP2	555	882	444	1303	702	1932	2872	1298	1643	1677
EEF2KMT	293	143	300	396	274	871	779	109	743	584
PPL	583	3085	540	1921	812	1359	3572	760	7975	3730
UBN1	1075	2019	970	2381	1092	4565	4127	1678	5101	3497
BTF3P11	0	0	0	1	2	1	0	0	0	0
KLF12	157	306	159	826	30	1100	311	284	31	205
UCHL3	278	415	180	288	331	862	636	126	997	760
PCDH17	111	99	91	609	53	560	241	260	79	383
HS1BP3	584	505	654	1769	821	1798	1926	728	3788	970
LDAH	458	674	357	832	683	1171	788	643	791	1058
WDR35	141	54	84	588	150	674	600	297	578	242
CCND2	9896	1313	2894	11740	7704	4459	5507	22570	327	14355
FGF23	0	1	1	0	7	1	0	2	0	2
OTUD4P1	1	2	0	1	1	4	0	104	2	0
ELL2	755	1090	487	1485	142	1336	895	910	757	2593
GLRXP3	0	3	0	0	1	1	0	2	6	27
DNAH7	12	62	28	43	21	71	62	341	33	62
CYP20A1	581	726	380	1043	607	1062	1084	710	1327	1438
NDUFB3	617	690	464	1104	739	1360	1605	281	2372	2947
GTF3C3	696	992	555	1203	1533	1847	1816	745	2889	1058
SATB2	1921	1352	1836	407	484	4622	5983	1234	12	616
UBE2B	834	1832	514	2495	889	2463	2208	543	3638	4271
TRPM6	64	175	203	41	13	239	265	21	273	4
GDA	347	178	296	2877	1983	183	599	1536	2656	2502
KLF9	294	575	497	5694	152	2282	1288	934	344	1674
TJP2	2754	2360	2521	4393	3230	6731	6402	3190	9585	7332
C2orf40	1	0	1	338	0	110	8	1	1	2
ITGB1BP1	677	957	918	1844	992	1855	1788	527	2301	2188
CPSF3	863	1056	961	1450	1791	2311	1826	620	4149	2882
PIGZ	759	224	761	240	207	2186	1538	82	136	293
SENP5	563	815	462	1099	457	2090	1749	1989	2220	1753
CCDC92	553	963	684	1974	576	2046	1740	394	4682	628
C1orf198	1226	1975	1513	3151	1415	3590	3428	1237	4292	2913
TRIM67	1	1	1	15	1	9	6	16	24	5
HEATR1	587	792	719	1347	831	2212	4317	1343	3831	2074
PTBP3	2835	6135	3238	5233	2201	11369	9588	4891	11593	11568
RAD23B	2815	6731	4266	7246	4104	9294	7177	2897	13416	13018
FKBP15	657	869	829	1887	919	2310	1959	1587	2805	2009
CTNNAL1	511	860	694	1723	552	1884	675	189	1231	1510
FAM206A	330	509	532	573	662	936	697	240	1669	1565
WDR34	1596	1808	2384	2208	3654	4338	2395	747	5566	7023
SET	4145	9105	6955	14483	5098	21079	15543	5014	32006	25508
PTPA	3106	3692	5309	7836	3591	8310	5973	2201	9815	9308
GLE1	832	1019	1394	1520	1847	2234	1970	1060	3546	3339
RAB14	2036	4157	2276	5061	2092	5766	4784	747	7752	6939
CNTRL	236	559	288	603	416	1431	813	994	2547	795
TRIM32	331	576	474	934	758	992	809	403	1548	990
FBXW2	1024	1215	1362	2626	1004	3084	2193	2044	3579	3184
PHF19	860	805	1421	1748	1619	2469	1323	950	3357	1790
NEK6	2013	518	2055	3079	1196	3032	3053	1899	4590	3494
BSPRY	654	1288	1993	872	1914	2139	1129	1060	1983	2308
PPP6C	1218	2022	1420	2698	1604	3202	2332	749	3925	4442
NDUFA8	902	1000	1432	1717	1983	1870	1474	352	4162	3550
HDHD3	1256	638	2283	1611	3175	2659	2459	909	3483	4417
LCN1P1	0	0	1	1	0	0	1	4	53	8
RBM18	472	1134	637	1257	608	1816	1084	309	2729	2455
SLC46A2	3	9	6	13	1	6	6	15	0	4
HSDL2	1358	1322	1153	1834	1421	2744	2070	713	1862	3437
MAPKAP1	1316	1377	1987	4242	2506	5603	4035	1292	7201	3504
NR4A3	250	66	66	615	28	376	816	326	21	120
INVS	233	185	242	447	239	767	448	872	535	478
GALNT12	667	1018	1260	1450	1435	1766	1430	710	2187	1301
DENND1A	835	744	844	1721	963	2351	1867	1929	2183	3576
ALG2	687	704	917	1252	811	1843	1298	597	3332	3529
CSF3R	228	246	455	375	119	204	372	782	62	90
KDSR	614	1466	793	3771	1169	1673	1583	1367	3248	4605
VPS4B	1182	2385	997	2617	1217	1629	2141	1017	2287	3373
ONECUT2	42	50	49	120	45	442	170	1943	101	1498
C19orf25	518	579	724	898	1209	1536	1189	434	1533	1566
ZBTB45	339	319	558	806	325	1276	917	157	1128	829
YLPM1	903	1443	1412	3344	1027	3965	3307	3109	2509	4209
DCAF4	205	181	420	513	393	1202	1048	311	642	568
PROX2	2	2	2	6	2	14	7	88	2	4
VSX2	0	0	0	2	1	0	0	0	0	0
FCF1	554	848	950	1623	1026	2183	1873	527	1324	2305
PGF	149	94	136	544	215	591	297	125	147	293
IFI27L2	340	212	327	989	211	634	336	205	305	1518
BBOF1	24	111	51	236	28	164	94	92	54	159
NEK9	1002	1195	1462	3937	1651	3230	2480	2232	3445	3430
ACYP1	93	208	114	167	129	350	248	199	473	463
IFT43	330	329	471	522	531	539	530	292	638	1657
NPC2	2534	1484	3501	6200	2711	6363	4170	1173	2054	5222
DPPA5P4	0	0	0	0	0	0	0	0	0	0
DNAL1	176	369	375	526	191	640	477	199	205	652
IRF2BPL	479	956	630	2911	360	2342	1024	413	1578	1257
ACOT2	457	543	576	765	385	578	574	114	786	300
LTBP2	877	529	754	7674	384	5805	3106	1100	321	656
AREL1	905	1132	1207	1786	1407	3222	2148	1563	1950	3480
MLH3	221	469	345	697	398	1122	643	1083	1960	1128
TTLL5	401	544	678	1168	699	1773	1371	1465	880	1013
FLVCR2	83	79	62	438	210	167	338	344	92	191
ABCD4	628	690	843	1576	1449	1718	887	1033	1635	1838
DLST	2833	2229	4737	5792	7121	4732	3463	2779	4256	10092
PPP4R4	1	1	6	8	1	8	2	4	1	6
TGFB3	334	435	185	6131	172	849	499	356	85	464
ZC2HC1C	96	73	58	136	113	101	112	110	229	185
SLIRP	547	592	1219	1025	592	1405	1163	644	1582	3298
RBM25	1238	2143	1354	3185	1097	4213	3759	3534	3280	5319
ALDH6A1	564	352	663	1145	974	642	770	479	808	1626
GPR68	98	167	262	561	144	900	582	277	73	308
ESRRB	0	0	0	10	0	3	0	5	9	1
EIF2B2	542	520	712	1016	1486	1511	907	514	1666	1701
NRDE2	286	302	309	688	335	845	636	972	412	1067
COQ6	195	135	268	299	686	396	285	248	363	487
ZNF410	36	32	46	66	56	85	73	310	64	76
RHOQ	278	322	377	3149	111	1751	1098	640	1110	759
GPR75	15	5	9	7	5	27	20	124	43	22
SUPT7L	565	650	507	1354	934	1756	1272	944	3515	1576
KLHL29	203	63	207	852	105	1097	180	339	32	785
DNMT3A	632	694	672	1401	342	2735	1148	1184	2128	726
TMEM214	2189	1976	2415	5919	3607	5717	5121	1796	9155	16550
ATAD2B	188	367	159	391	153	778	579	1130	568	786
FKBP1B	11	17	86	109	18	83	63	11	25	24
ATL2	714	1625	606	2351	975	2556	2156	753	4200	3078
YPEL5	1362	2449	773	4267	1077	2943	2285	647	5942	2347
FAM98A	856	694	729	1856	863	2328	1777	451	1774	3666
YIPF4	1020	1646	541	2385	603	3130	2492	837	4265	4706
AFTPH	485	799	390	1320	503	2488	2030	710	2612	2534
LGALSL	578	2184	188	713	365	515	710	333	1076	871
CNRIP1	119	74	99	839	113	358	164	91	54	98
BCL11A	275	121	195	354	109	1420	1012	649	1028	397
CRIPT	218	512	183	559	201	693	609	130	1462	1389
EPCAM	24235	20487	13798	20176	28736	45075	35717	6839	75270	65927
SLC17A5	868	1009	559	3069	1120	1610	1365	558	1784	3477
OGFRL1	181	494	392	967	193	465	1115	305	863	1006
SLF2	402	861	239	1206	320	1719	978	1550	914	1147
IDE	903	1568	763	2089	983	3309	2476	1733	1313	3395
TECTB	1	1	1	0	0	3	2	0	0	2
ELOVL3	5	8	3	15	53	3	3	23	10	5
IFIT3	375	1489	231	2219	878	553	1336	1630	1385	557
NKX2-3	119	34	51	704	35	547	74	1	6	16
IFIT2	147	799	92	1131	249	171	501	651	450	187
GPAM	172	350	212	440	354	1144	465	378	535	946
CUTC	190	170	128	459	229	604	371	168	1110	759
PPP1R3C	9	18	73	617	37	722	43	21	13	14
PYROXD2	141	160	185	285	160	209	213	324	245	462
CNNM1	11	7	7	65	5	27	14	40	5	4
MXI1	393	1219	492	2279	618	2423	1723	1096	1541	3294
SMNDC1	450	1433	415	1227	517	1767	1663	509	1526	2598
C10orf88	156	316	91	301	83	429	267	53	399	503
HELLS	397	946	317	542	366	1504	1262	1550	679	2283
PRLHR	0	0	0	13	0	3	0	0	2	1
TCTN3	1033	987	1190	1802	2159	2922	1697	907	1733	3784
FAM45A	152	277	168	442	277	456	414	402	416	566
AVPI1	466	940	497	956	653	1015	1478	526	1439	2723
WDR11	1002	1479	687	2076	1867	2651	2161	1728	1930	2437
C10orf76	647	615	520	1506	879	1929	1164	1335	1082	1787
KCNIP2	19	11	18	25	14	64	37	285	61	51
CFAP58	1	6	0	24	0	12	10	9	4	7
GOT1	2069	2229	1136	1686	3020	2319	1539	912	2880	7465
CPN1	0	0	2	0	8	49	0	0	20	0
C10orf95	37	10	93	58	30	80	55	51	44	76
SFRP5	1	0	1	179	12	49	1	13	24	0
GNA13	1157	2090	687	3104	1080	3758	4011	1597	3880	3639
HOXB8	671	809	207	1634	896	7260	871	718	6959	1223
KANSL1	705	795	766	2355	820	3927	2552	3698	3935	2300
HOXB5	261	550	441	614	777	2830	457	915	2834	546
CRHR1	0	0	0	7	0	1	0	2	1	0
HOXB3	756	999	262	1189	413	8092	1485	4075	3706	1440
HOXB1	0	0	0	2	0	0	0	0	0	3
DUSP1	1984	1715	1382	14691	955	11219	5715	1601	760	6871
PANK3	1383	1614	803	2305	677	4559	3381	3098	2301	6868
MSX2	258	157	281	339	306	1164	574	202	12520	1009
TEK	117	61	98	1074	143	494	147	125	50	157
RCL1	226	238	357	406	372	818	529	280	1610	1105
CAAP1	539	884	552	736	393	1570	923	267	1230	1416
EQTN	1	2	1	2	0	2	1	7	0	2
MOB3B	603	438	502	896	1176	1668	938	838	25	1692
INSL6	0	0	0	1	0	1	0	74	1	0
INSL4	0	1	1	0	0	0	0	14	0	16
MLANA	6	4	6	16	2	21	13	48	17	17
CD274	71	557	58	150	127	77	79	243	277	149
IFNA6	0	0	0	0	0	0	0	0	0	0
IFNA8	0	0	0	2	0	0	0	0	0	0
GRIA2	0	0	0	10	0	5	1	0	1	2
NUP43	769	1010	464	1254	1354	2378	2350	750	2699	2506
MTHFD1L	504	1214	1176	1602	1057	3697	2738	1033	3260	2406
LRP11	651	2576	901	2007	1244	4009	2982	972	4778	3097
CCDC170	365	23	46	115	225	402	451	30	22	106
PCMT1	909	1598	900	2487	1664	2633	3423	403	5729	4571
PLEKHG1	307	190	450	1382	224	2327	1019	1048	461	1173
MYCT1	65	37	50	702	37	363	118	69	57	176
CXorf21	36	28	11	72	25	64	74	30	7	23
MAGEB4	0	0	0	0	0	0	0	0	0	0
CYSTM1	2666	1640	1591	5535	7333	2784	2649	1749	10405	16437
WDR55	810	592	849	1365	983	1923	1423	841	2299	3254
ARAP3	587	160	128	988	240	1205	825	887	213	846
PCDHB8	0	4	73	60	19	51	9	1	21	4
PCDHB10	16	135	21	242	13	220	27	33	92	51
PCDHB14	51	979	142	547	134	476	213	102	211	366
PCDHB12	7	13	31	164	4	73	28	17	60	6
SLC25A2	3	0	0	1	0	4	1	24	6	7
TNN	4	10	48	26	3	33	14	6	0	4
MRPS14	475	594	425	817	847	1026	1192	346	1578	1284
CENPL	103	227	100	172	213	377	469	190	361	578
TNFSF18	15	8	2	11	8	17	5	4	0	0
SEC16B	13	9	2	7	5	16	22	192	57	22
GORAB	173	293	138	240	194	608	623	190	542	629
GPR31	2	1	0	2	0	3	0	3	1	0
ACAT2	1124	410	719	901	2256	3336	4040	374	1138	3009
TCP1	4326	4933	4015	6749	7035	10408	12740	2265	15620	17023
TTLL2	5	0	6	34	12	34	38	30	52	1
SNX19	1121	1494	1061	3709	1155	4572	2698	2701	4925	2970
KCNJ5	21	6	16	241	38	33	68	45	27	7
MSANTD2	136	181	90	275	100	475	265	279	491	288
TP53AIP1	18	1	2	8	1	2	2	23	94	26
TEX11	12	7	4	8	2	20	21	6	2	4
ARR3	3	5	2	2	1	6	12	101	18	8
PDZD11	801	745	621	998	1282	1657	1816	301	3392	2012
SLC10A7	216	265	173	433	269	612	503	486	436	763
NUDCD1	408	644	582	891	562	2130	1946	312	1751	1749
ENY2	623	1027	960	1978	995	2531	2672	444	2409	3610
MASTL	256	736	253	411	418	723	723	513	1231	1559
KIAA1217	2081	1057	1430	3505	1117	4282	4570	2713	3696	3681
SEPT7P9	1	0	0	5	1	10	3	3	11	2
LYZL1	0	0	0	0	0	0	0	0	0	0
PLXDC2	347	641	822	6429	560	3345	2568	1731	119	511
EPC1	445	1116	280	1002	558	1499	823	846	1504	1680
IQSEC3	24	6	20	162	9	96	85	32	20	8
CCDC77	109	278	157	224	200	415	284	214	478	555
TAF12	266	387	320	715	429	710	860	225	2632	1647
ENOX1	9	26	30	305	16	140	71	42	261	15
TNFSF11	145	35	49	102	28	548	100	19	1	2
MTRF1	162	181	123	216	306	622	710	343	1292	482
SPART-AS1	0	1	0	4	0	1	1	0	0	0
SOHLH2	0	0	0	10	0	5	0	0	0	0
DNAJC15	1177	757	631	3060	1069	4185	4727	1860	9040	3643
PROSER1	986	1439	1053	1599	1063	9115	7638	1798	8963	3738
UFM1	966	2161	900	2429	916	6035	4775	1396	9432	5471
WBP4	153	263	135	699	229	1129	891	363	2143	770
ELF1	1213	2403	1094	2366	1271	8063	6192	1989	11102	2726
SMAD9	51	260	1538	1204	17	1449	116	36	75	359
HSPH1	1045	1795	1349	2272	1276	16555	18872	1095	35009	2709
KBTBD7	97	331	99	428	127	745	600	331	997	645
ALG5	850	724	691	1427	1391	2527	2722	234	4539	3388
EXOSC8	492	740	432	600	898	2159	1642	731	3480	1800
ETF1	2347	2953	2165	5901	2909	6413	5403	1972	7583	8184
TGFBI	15458	14066	29886	21263	6459	67382	31717	10494	71178	18852
FAM53C	416	560	501	1575	749	2013	1419	884	3561	1614
SIL1	1223	609	1292	2132	975	2118	1981	694	4264	5698
PAIP2	611	1018	785	1947	946	2028	1462	481	4937	2780
MYOT	0	4	0	153	1	65	13	7	0	4
KDM3B	1406	2034	1762	4509	2095	6470	4202	3971	7498	6393
EGR1	3612	4177	2931	20294	1052	20744	16081	993	3736	1562
SERP1	4004	4977	3856	6527	4129	9572	9214	1574	11263	19259
PLS1	4343	7180	1798	4861	5117	6555	8653	1994	7482	9866
ZFP30	45	252	86	191	325	256	381	37	764	29
NR2C1	315	1066	555	551	604	956	588	600	1498	1167
UTP20	419	1617	1090	1220	219	2537	1926	1685	3696	1795
TMPO	2265	3486	2804	3728	2935	7249	5511	2777	8451	8742
ARL1	1534	3813	1683	3520	2213	3072	2414	1386	5120	7612
GLT8D2	172	102	185	1165	160	635	495	158	30	151
MTERF2	226	172	181	255	97	279	234	252	362	270
SOCS2	181	578	425	544	347	363	247	217	212	148
NFYB	249	790	467	2181	445	1811	1169	389	1523	1611
WASHC3	443	394	416	799	483	1072	697	354	2704	669
APAF1	486	1283	709	434	652	1343	1065	988	1140	816
DUSP4	281	13874	1435	4075	968	643	226	4254	2781	12722
CLU	290	431	325	27081	111	8118	4371	130	9702	2256
TNFRSF10B	2048	3201	2568	5322	2194	2220	2559	2544	5123	8659
SORBS3	1026	1381	1841	6058	837	3189	2391	313	3474	1139
PTK2B	1617	588	1080	2058	1448	1041	2029	1745	1654	1930
CHRNA2	0	0	2	0	0	0	0	6	0	0
ADRA1A	2	0	0	13	0	16	2	5	1	1
PPP3CC	265	177	148	719	221	351	362	179	330	284
PDLIM2	286	296	375	928	449	714	734	223	389	252
EPHX2	1224	377	1062	700	3764	695	750	614	1668	456
RNF170	438	881	399	765	472	637	2206	475	1374	1201
NPPB	0	1	0	0	0	0	0	0	0	2
UBIAD1	440	268	573	1095	780	1316	1416	387	2488	1684
TARDBP	1453	2243	1344	4096	2012	5218	5235	859	6816	7427
TNFRSF8	17	19	18	150	7	74	28	19	13	10
PRAMEF2	0	0	0	0	0	0	0	0	0	0
ZNF706	1347	2188	1839	2751	1932	4707	6408	1118	4789	3840
LYPLA1	1535	3300	1738	2690	1301	5830	4410	807	1687	4481
CRISPLD1	33	27	85	597	36	290	99	22	9	30
COPS5	896	1013	1155	2053	1985	3541	1724	641	2102	3253
RDH10	1264	1756	879	3210	1369	4241	1766	348	1391	2955
EPX	2	8	8	7	6	4	3	19	5	6
AKAP1	1799	2191	2721	5455	3587	18107	11410	2630	11571	12262
COIL	316	644	233	520	355	1888	1299	334	1948	1301
TRIM25	1682	1846	1796	2676	1935	3906	3786	3491	4605	2901
SCPEP1	447	700	283	1135	539	1449	1547	366	689	1821
SPOP	809	1401	710	3813	1287	3509	2465	940	2937	3270
TBX2	508	133	232	866	144	1193	378	229	846	119
SLC35B1	958	839	936	1772	1986	3279	2352	542	3599	5096
TBX4	131	0	12	1065	1	10	3	2	1611	49
NACA3P	34	66	67	0	101	115	80	33	197	171
TEX14	3	4	5	11	2	10	10	29	116	5
FAM117A	164	90	233	740	74	749	543	47	391	475
NCAPH	465	540	427	459	850	1239	1580	624	1208	1880
LRAT	3	0	0	84	0	36	4	0	31	1
TMEM131L	292	499	188	797	77	657	676	577	235	358
MND1	91	175	75	123	102	228	289	180	333	746
TRIM6	8	58	15	197	10	85	45	32	196	10
ABCC11	7	2	1	9	5	89	13	50	38	44
PAPD5	209	550	214	701	150	2147	1483	373	829	963
ADCY7	117	127	167	227	142	503	655	449	285	177
CEP89	316	545	431	1023	572	1258	1182	395	1322	1018
TSHZ3	120	73	128	1228	64	853	326	216	18	125
ECHDC2	825	590	564	1049	974	1218	1499	770	3645	1315
TAS2R8	0	0	0	0	0	0	0	0	1	0
PLBD1	5068	1420	1127	1195	3219	1254	3592	1890	6572	2451
TAS2R10	0	3	1	2	1	1	1	1	1	0
PRB2	0	0	5	0	0	2	1	5	3	0
PYROXD1	257	486	207	488	366	369	589	263	819	999
IAPP	0	0	2	0	0	0	0	0	1	0
KCNJ8	72	72	78	857	81	385	140	101	34	71
TAS2R7	0	0	0	0	0	0	0	0	0	0
BCL2L14	331	275	1188	585	909	1547	523	692	419	1721
TAS2R9	0	0	0	0	0	0	0	0	0	0
AL139327.1	0	0	0	0	0	0	0	0	0	0
PSPC1	594	667	548	1456	896	2495	1981	1145	3205	2864
ZNF549	23	15	40	151	104	107	258	94	1022	16
A1BG	2	0	1	3	1	8	11	6	5	2
ZSCAN18	63	59	43	1055	31	498	625	106	24	58
ZNF211	103	40	98	278	330	361	199	62	456	347
PDZRN3	145	115	284	3109	162	2540	387	538	13	570
RGSL1	0	2	0	0	0	0	1	2	0	1
LHX4	16	20	10	31	5	53	39	568	46	29
RNF2	276	837	212	751	372	1142	1091	377	1366	1161
TRMT1L	261	636	234	772	371	886	1424	188	1573	815
SEC22A	189	255	152	479	328	645	538	185	566	884
CSTA	30	29	20	87	6	79	103	37	22	46
DPPA4	0	0	0	0	0	1	1	1	1	1
POPDC2	38	23	22	1404	28	728	74	67	30	43
B4GALT4	697	965	750	1357	1067	2496	1577	638	3730	4058
NAA50	2056	3482	2015	5231	989	8473	8919	1763	8718	9223
CD80	25	35	12	20	21	35	59	179	2	22
KIF18A	157	567	167	170	225	531	331	487	621	904
GJA8	0	0	0	0	1	0	0	0	0	0
DESI2	863	2120	876	2271	997	4199	3012	1247	4862	3333
MAPK8IP1	126	35	81	644	33	758	239	41	243	79
CRY2	480	467	345	2075	542	2304	888	693	1937	1274
PEX16	619	288	825	905	974	1862	1457	278	3976	1792
DEPDC7	225	254	41	313	191	138	75	35	472	456
CAT	2915	3027	1627	1995	3948	4887	3325	1192	2275	2469
PILRB	75	74	73	42	33	231	187	431	427	268
ZMYM2	793	1509	806	2191	542	4827	4362	3293	9845	2139
GJB6	0	34	0	3	7	7	0	1	4	0
GJA3	1	0	3	15	0	2	6	3	85	11
TBC1D15	641	1455	585	1998	1281	1508	1369	648	2049	2309
ADGRB2	43	85	61	363	103	223	57	146	372	49
HCRTR1	1	0	0	13	0	7	4	55	6	1
ZCCHC17	514	409	607	1201	1101	1237	1060	327	2017	1914
FABP3	53	15	39	466	68	185	197	117	70	75
KHDRBS1	2749	5465	3395	6177	2920	8014	7573	2351	16894	14491
TMEM39B	226	383	441	553	467	820	539	188	913	786
CCRL2	447	177	191	432	509	344	610	157	85	455
CCR2	26	80	29	83	22	50	14	103	12	5
POLR3GL	248	558	212	1240	385	1113	995	154	3027	1525
GHSR	0	0	1	2	0	0	0	0	0	0
TNFSF10	1051	2743	935	2968	1222	2683	2965	1484	2276	3851
ZNF639	312	702	339	1161	485	1563	1409	450	1116	1374
SLITRK3	0	1	2	175	0	45	3	2	1	1
PIK3CA	246	569	178	1027	267	1069	1014	451	1221	656
PDS5A	1593	3428	1429	4055	2828	5824	5219	4188	7648	3943
TMEM156	43	31	6	26	2	32	41	13	6	7
LIAS	163	151	272	336	291	451	313	211	789	839
CPXM2	111	39	94	4847	410	1404	474	160	61	168
TMEM54	5112	2618	4666	5262	10736	3482	5771	1665	13399	10387
ZSCAN20	44	82	33	117	59	179	95	158	272	146
CSMD2	44	14	61	230	11	132	166	260	5	71
HPCA	19	18	20	13	43	10	17	63	24	34
LRIF1	174	539	129	460	152	1667	483	145	2002	943
TMIGD3	37	22	32	194	48	66	25	28	26	47
CLCC1	391	399	258	842	366	1047	809	501	645	1382
GPSM2	1480	348	1256	1514	731	2688	2078	1008	894	2520
GTDC1	273	493	156	504	196	777	868	400	380	367
CXCR4	464	577	909	1839	245	4074	1688	1282	335	12179
ZRANB3	116	78	122	130	79	262	213	433	140	349
ACVR2A	172	445	156	875	211	641	640	338	116	1242
POLK	214	319	155	710	162	717	570	534	588	611
SV2C	35	8	1	284	1	39	15	2	11	1
FLT3	12	26	6	21	6	10	13	44	1	3
MTIF3	461	461	391	1170	543	2581	2706	506	4391	2418
GTF3A	1410	3675	2482	3601	3454	16591	11707	1964	25313	6705
RASL11A	417	124	689	1269	1250	1452	718	77	42	540
UBL3	603	1137	489	2552	627	3695	3622	937	4509	2330
LINC00544	0	0	0	1	1	1	0	1	0	0
FYTTD1	767	1631	699	3366	1101	3346	3224	1230	2934	2924
MTERF4	455	300	393	869	463	1078	884	441	1005	1222
XPNPEP2	66	17	20	263	38	1016	93	6	946	13
SASH3	295	250	294	531	345	439	622	284	129	91
OCRL	1001	950	835	1771	1570	3232	2616	1115	3171	2039
PAEP	1	125	40	12	2	2	3	1	78	38
OBP2A	3	0	2	0	1	7	6	0	409	0
MRPS2	1258	888	3097	2249	2378	2702	2295	611	5529	5974
TBX22	2	0	0	0	0	0	0	0	0	0
FMOD	587	1044	1943	7747	630	3911	2825	579	147	7560
MYOG	0	0	0	0	0	0	0	1	0	0
LAX1	188	75	24	76	13	28	52	87	12	6
PLG	0	0	3	0	0	1	0	0	0	0
KIAA1191	1298	2749	1642	4295	2769	4758	2800	1600	9952	4300
COPA	3635	3810	3909	9973	6915	10437	14188	5768	16599	20224
CD244	16	53	44	23	45	38	14	44	24	1
LY9	92	57	21	63	14	32	80	72	27	6
HS3ST2	14	1	68	168	31	21	39	30	13	12
RBBP6	702	991	557	2028	381	2470	3531	1242	4624	4032
